display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
ARID1A,218917_s_at,1.95,0.57,0.244125144,0.290034611,-0.244125144,0.534159756,2,0.023,0.0021,1.09,3.5,0.129245292,0.39,0.82,0.082333991,3.485717869,3.485717869,0.000490818
TP63,209863_s_at,0.66,0.8,0.096910013,-0.180456064,-0.096910013,-0.083546051,0,0.084,0.17,0.42,1.06,0.102565453,0.57,1.1,0.072836181,-0.664136073,0.664136073,0.506603224
NCOA1,209106_at,1.54,0.68,0.167491087,0.187520721,-0.167491087,0.355011808,1,0.077,0.033,0.95,2.48,0.106308183,0.48,0.97,0.077941453,2.693172354,2.693172354,0.007077567
CNOT9,213179_at,1.71,0.81,0.091514981,0.23299611,-0.091514981,0.324511092,0,0.078,0.29,0.93,3.12,0.13409991,0.55,1.2,0.086433305,2.034022599,2.034022599,0.041949317
TRIP4,203732_at,0.79,0.87,0.060480747,-0.102372909,-0.060480747,-0.041892161,0,0.36,0.47,0.48,1.3,0.110383193,0.59,1.27,0.084936661,-0.30077838,0.30077838,0.763583496
CYP7B1,207386_at,1.44,0.8,0.096910013,0.158362492,-0.096910013,0.255272505,0,0.25,0.2,0.77,2.68,0.138174507,0.56,1.13,0.077778167,1.609930979,1.609930979,0.107412925
NR1D1,31637_s_at,1.59,0.56,0.251811973,0.201397124,-0.251811973,0.453209097,1,0.057,0.0014,0.98,2.56,0.106381094,0.39,0.8,0.079598311,3.411076579,3.411076579,0.000647069
RNF14,201824_at,1.69,0.82,0.086186148,0.227886705,-0.086186148,0.314072852,1,0.026,0.25,1.06,2.7,0.103586199,0.59,1.15,0.073940262,2.467797853,2.467797853,0.013594707
NCOR1,200854_at,1.5,0.64,0.193820026,0.176091259,-0.193820026,0.369911285,1,0.18,0.0059,0.82,2.75,0.134060929,0.46,0.88,0.071868582,2.431868359,2.431868359,0.015021166
NCOR2,207760_s_at,2.02,0.62,0.207608311,0.305351369,-0.207608311,0.51295968,2,0.029,0.0049,1.06,3.84,0.14260851,0.45,0.87,0.073037433,3.20152064,3.20152064,0.001367043
SAFB2,32099_at,0.78,0.65,0.187086643,-0.107905397,-0.187086643,0.079181246,1,0.32,0.0094,0.48,1.27,0.107796552,0.47,0.9,0.071975676,0.610885766,0.610885766,0.541275209
