display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
NDC80,204162_at,1.34,2.69,5.408935393,0.127104798,0.42975228,-0.302647482,1,0.25,3.90E-06,0.81,2.22,0.111701009,1.74,4.18,0.097098733,-2.044855699,2.044855699,0.040869087
NEK2,204641_at,2.49,2.22,4.853871964,0.396199347,0.346352974,0.049846373,2,0.004,1.40E-05,1.31,4.74,0.142476287,1.54,3.22,0.081718151,0.303482692,0.303482692,0.761522036
NOLC1,211951_at,0.63,1.37,1.236572006,-0.200659451,0.136720567,-0.337380018,0,0.089,5.80E-02,0.36,1.08,0.121714606,0.99,1.89,0.071639441,-2.388824919,2.388824919,0.016902355
NUMA1,200747_s_at,1.58,0.58,2.677780705,0.198657087,-0.236572006,0.435229093,1,0.062,2.10E-03,0.97,2.56,0.107517406,0.41,0.82,0.076793366,3.294052032,3.294052032,0.000987542
NUSAP1,218039_at,1.81,3.33,6.920818754,0.257678575,0.522444234,-0.264765659,2,0.014,1.20E-07,1.12,2.92,0.106164497,2.07,5.33,0.104784914,-1.774961949,1.774961949,0.07590417
PAM,201960_s_at,0.69,0.66,1.744727495,-0.161150909,-0.180456064,0.019305155,1,0.12,1.80E-02,0.43,1.1,0.104062303,0.47,0.93,0.075608441,0.150083187,0.150083187,0.880698984
PCBP4,209361_s_at,1.86,1.36,1.036212173,0.269512944,0.133538908,0.135974036,1,0.034,9.20E-02,1.04,3.35,0.129594762,0.95,1.95,0.079671175,0.893825504,0.893825504,0.371415261
PDS5B,207956_x_at,0.5,0.79,0.823908741,-0.301029996,-0.102372909,-0.198657087,1,0.0041,1.50E-01,0.31,0.81,0.106409011,0.57,1.09,0.071824399,-1.547405331,1.547405331,0.121765537
PIM2,204269_at,0.63,0.64,2.173925197,-0.200659451,-0.193820026,-0.006839425,1,0.12,6.70E-03,0.34,1.14,0.134037228,0.46,0.89,0.073120453,-0.04479447,0.04479447,0.964271133
PIN1,202927_at,0.66,1.28,0.823908741,-0.180456064,0.10720997,-0.287666034,0,0.097,1.50E-01,0.4,1.08,0.110041777,0.92,1.79,0.073741123,-2.171639927,2.171639927,0.029882833
PKMYT1,204267_x_at,2.5,1.92,4.119186408,0.397940009,0.283301229,0.11463878,2,0.0027,7.60E-05,1.34,4.65,0.137843917,1.38,2.67,0.073120453,0.73468971,0.73468971,0.462528488
PLK1,202240_at,1.61,2.8,6.455931956,0.206825876,0.447158031,-0.240332155,1,0.07,3.50E-07,0.96,2.69,0.114153328,1.85,4.23,0.091624653,-1.641877416,1.641877416,0.100615411
PML,211012_s_at,0.68,0.58,2.13076828,-0.167491087,-0.236572006,0.069080919,1,0.15,7.40E-03,0.4,1.16,0.117958673,0.38,0.87,0.0917693,0.462228624,0.462228624,0.643917378
POLA1,204835_at,1.55,0.63,2.096910013,0.190331698,-0.200659451,0.390991149,1,0.065,8.00E-03,0.97,2.46,0.103102901,0.45,0.89,0.075555483,3.058836939,3.058836939,0.002221981
POLD1,203422_at,1.79,1.62,1.853871964,0.252853031,0.209515015,0.043338016,2,0.042,1.40E-02,1.01,3.17,0.126718849,1.1,2.4,0.086433305,0.282535478,0.282535478,0.777532947
POLE,216026_s_at,2.11,1.24,0.677780705,0.324282455,0.093421685,0.23086077,1,0.013,2.10E-01,1.15,3.85,0.133868084,0.89,1.72,0.0729945,1.514081664,1.514081664,0.130005128
PPP5C,201979_s_at,1.41,1.71,2.795880017,0.149219113,0.23299611,-0.083776998,1,0.17,1.60E-03,0.86,2.3,0.108987088,1.22,2.39,0.074499508,-0.634594797,0.634594797,0.525692723
PRUNE2,212805_at,1.53,0.72,1.060480747,0.184691431,-0.142667504,0.327358934,0,0.12,8.70E-02,0.89,2.61,0.119196556,0.49,1.05,0.084437046,2.241058048,2.241058048,0.025022315
PTPRC,212588_at,0.48,0.73,1.091514981,-0.318758763,-0.13667714,-0.182081623,1,0.0017,8.10E-02,0.3,0.77,0.104430987,0.52,1.04,0.076793366,-1.404662624,1.404662624,0.160121625
RAD17,207405_s_at,0.72,1.2,0.522878745,-0.142667504,0.079181246,-0.22184875,0,0.16,3.00E-01,0.45,1.15,0.103950338,0.85,1.71,0.077443159,-1.711441565,1.711441565,0.08699963
RAD21,200608_s_at,0.7,1.9,4.031517051,-0.15490196,0.278753601,-0.433655561,1,0.17,9.30E-05,0.42,1.16,0.112553239,1.37,2.64,0.072674326,-3.236795343,3.236795343,0.001208801
RAD50,209349_at,0.75,0.61,2.537602002,-0.124938737,-0.214670165,0.089731428,1,0.22,2.90E-03,0.47,1.19,0.10292069,0.44,0.85,0.072950574,0.711293273,0.711293273,0.476902519
RAD51,205023_at,0.63,0.56,2.167491087,-0.200659451,-0.251811973,0.051152522,2,0.049,6.80E-03,0.39,1,0.104320253,1.13,2.16,0.071779415,0.403954617,0.403954617,0.686246092
RAD51B,216880_at,0.64,0.64,2.244125144,-0.193820026,-0.193820026,0,1,0.06,5.70E-03,0.4,1.02,0.10370923,0.46,0.88,0.071868582,0,0,1
RAD51D,209965_s_at,0.75,1.55,2.086186148,-0.124938737,0.190331698,-0.315270435,1,0.22,8.20E-03,0.47,1.19,0.10292069,1.12,2.15,0.072250112,-2.507145767,2.507145767,0.012171051
RAD52,205647_at,0.62,0.69,1.48148606,-0.207608311,-0.161150909,-0.046457401,2,0.047,3.30E-02,0.38,1,0.107198062,0.49,0.97,0.075657055,-0.35407574,0.35407574,0.723282123
RAD54B,219494_at,0.82,1.66,2.619788758,-0.086186148,0.220108088,-0.306294236,1,0.41,2.40E-03,0.51,1.32,0.105358101,1.19,2.3,0.073005325,-2.389563792,2.389563792,0.016868394
RAD54L,204558_at,2.13,1.61,1.795880017,0.328379603,0.206825876,0.121553727,2,0.019,1.60E-02,1.12,4.05,0.142407398,1.09,2.37,0.086051492,0.730547004,0.730547004,0.465055893
RAN,200749_at,1.59,1.41,1.27572413,0.201397124,0.149219113,0.052178012,0,0.052,5.30E-02,0.99,2.53,0.103950338,0.99,2,0.077906837,0.401664758,0.401664758,0.687930764
RB1,203132_at,0.74,1.6,2.091514981,-0.13076828,0.204119983,-0.334888263,1,0.25,8.10E-03,0.45,1.24,0.112298258,1.13,2.27,0.077282503,-2.456610799,2.456610799,0.014025454
RCC1,206499_s_at,1.7,1.62,2.180456064,0.230448921,0.209515015,0.020933907,2,0.025,6.60E-03,1.06,2.71,0.103995772,1.14,2.3,0.077760965,0.161211932,0.161211932,0.871926484
REC8,218599_at,1.26,1.11,0.26760624,0.100370545,0.045322979,0.055047566,0,0.33,5.40E-01,0.79,2.02,0.104011295,0.8,1.55,0.073275947,0.432658622,0.432658622,0.665262795
RINT1,218598_at,0.47,1.63,2.494850022,-0.327902142,0.212187604,-0.540089746,2,0.012,3.20E-03,0.26,0.86,0.132531914,1.77,2.25,0.026583993,-3.995579889,3.995579889,6.45361E-05
SC65,204078_at,1.63,0.81,0.194994095,0.212187604,-0.091514981,0.303702586,0,0.098,0.638272164,0.91,2.93,0.129547507,0.57,1.14,0.076793366,2.016643321,2.016643321,0.043732749
SKP2,203625_x_at,1.46,2,4.207608311,0.164352856,0.301029996,-0.13667714,1,0.14,6.20E-05,0.88,2.43,0.112531531,1.41,2.83,0.077185542,-1.001601409,1.001601409,0.31653614
SMC1A,217555_at,0.69,1.33,0.823908741,-0.161150909,0.123851641,-0.28500255,0,0.12,1.50E-01,0.43,1.1,0.104062303,0.9,1.95,0.08566125,-2.114508207,2.114508207,0.034471885
SMC3,209259_s_at,0.68,1.32,0.958607315,-0.167491087,0.120573931,-0.288065018,0,0.11,1.10E-01,0.43,1.09,0.103050521,0.94,1.87,0.076202488,-2.247613258,2.247613258,0.024600861
SMC4,201664_at,1.5,2.08,3.468521083,0.176091259,0.318063335,-0.141972076,1,0.12,3.40E-04,0.9,2.49,0.112744091,1.38,3.12,0.090376405,-0.982532192,0.982532192,0.325837732
SPO11,222259_s_at,1.94,0.67,1.698970004,0.28780173,-0.173925197,0.461726927,2,0.0049,2.00E-02,1.21,3.1,0.104228654,0.48,0.94,0.074460871,3.604598795,3.604598795,0.000312636
SSSCA1,203114_at,1.84,1.52,2.060480747,0.264817823,0.181843588,0.082974235,2,0.0097,1.30E-02,1.15,2.94,0.103992217,1.09,2.11,0.07317754,0.652525063,0.652525063,0.51406251
STAG3,219753_at,0.55,1.23,0.638272164,-0.259637311,0.089905111,-0.349542422,1,0.016,2.30E-01,0.34,0.9,0.107847855,0.88,1.72,0.074246371,-2.669610003,2.669610003,0.007593939
SYCP1,216917_s_at,0.69,1.58,2.017728767,-0.161150909,0.198657087,-0.359807996,1,0.13,9.60E-03,0.43,1.11,0.105064929,1.11,2.25,0.078280495,-2.746187873,2.746187873,0.006029223
TARDBP,221264_s_at,0.73,0.63,2.346787486,-0.13667714,-0.200659451,0.063982311,1,0.26,4.50E-03,0.42,1.26,0.121714606,0.45,0.87,0.073037433,0.450748324,0.450748324,0.652170949
TBRG4,220789_s_at,0.72,1.75,3.187086643,-0.142667504,0.243038049,-0.385705552,1,0.16,6.50E-04,0.45,1.15,0.103950338,1.26,2.42,0.072307352,-3.046032959,3.046032959,0.002318824
TGFA,205016_at,0.76,1.6,2.22184875,-0.119186408,0.204119983,-0.32330639,1,0.24,6.00E-03,0.47,1.2,0.103847803,1.14,2.24,0.074832441,-2.525811105,2.525811105,0.011543153
TGFB1,203084_at,0.42,1.5,1.823908741,-0.37675071,0.176091259,-0.552841969,2,0.0018,1.50E-02,0.24,0.74,0.124750122,1.08,2.1,0.073672331,-3.815862009,3.815862009,0.000135708
TIMELESS,215455_at,1.85,0.68,1.408935393,0.267171728,-0.167491087,0.434662816,2,0.018,3.90E-02,1.1,3.11,0.115144822,0.47,0.98,0.08141026,3.082330493,3.082330493,0.002053867
TIPIN,219258_at,0.55,1.65,2.638272164,-0.259637311,0.217483944,-0.477121255,2,0.035,2.30E-03,0.32,0.97,0.122862693,1.19,2.28,0.072037726,-3.349999439,3.349999439,0.000808117
TOP3A,204946_s_at,1.82,0.65,1.366531544,0.260071388,-0.187086643,0.447158031,2,0.041,4.30E-02,1.02,3.27,0.12906826,0.43,0.99,0.092389474,2.817142139,2.817142139,0.004845308
TPD52L1,203786_s_at,0.79,1.6,2.013228266,-0.102372909,0.204119983,-0.306492891,1,0.33,9.70E-03,0.5,1.26,0.102398097,1.12,2.3,0.079721891,-2.361767326,2.361767326,0.018188053
TPX2,210052_s_at,2.08,2.92,7.356547324,0.318063335,0.465382851,-0.147319516,2,0.0026,4.40E-08,1.28,3.39,0.107905543,1.95,4.37,0.0893997,-1.051319547,1.051319547,0.293111853
TRIAP1,218403_at,1.75,0.76,0.886056648,0.243038049,-0.119186408,0.362224456,1,0.02,1.30E-01,1.09,2.82,0.10531189,0.53,1.08,0.078864257,2.753132814,2.753132814,0.005902794
TTK,204822_at,1.64,2.67,6.886056648,0.214843848,0.426511261,-0.211667413,1,0.078,1.30E-07,0.94,2.87,0.123661746,1.83,3.91,0.084113691,-1.415294535,1.415294535,0.156982157
TTN,208195_at,2.12,0.72,1.236572006,0.326335861,-0.142667504,0.469003364,1,0.019,5.80E-02,1.11,4.03,0.142852568,0.51,1.01,0.075701836,2.900967766,2.900967766,0.003720121
UBE2C,202954_at,2.86,2.34,6.193820026,0.456366033,0.369215857,0.087150176,2,0.0013,6.40E-07,1.46,5.58,0.148541159,1.66,3.31,0.07645916,0.521656499,0.521656499,0.601909518
USH1C,211184_s_at,1.79,0.57,3.026872146,0.252853031,-0.244125144,0.496978175,2,0.038,9.40E-04,1.02,3.12,0.123865924,0.41,0.8,0.074057686,3.443663814,3.443663814,0.000573889
XRCC2,207598_x_at,1.41,0.82,0.568636236,0.149219113,-0.086186148,0.23540526,0,0.14,2.70E-01,0.89,2.26,0.103244498,0.58,1.17,0.077744354,1.821423685,1.821423685,0.068542478
ZW10,204812_at,1.38,1.29,0.795880017,0.139879086,0.11058971,0.029289376,0,0.23,1.60E-01,0.81,2.36,0.118476271,0.9,1.85,0.079828882,0.205020037,0.205020037,0.837556471
ZWINT,204026_s_at,1.49,2.09,5.086186148,0.173186268,0.320146286,-0.146960018,1,0.095,8.20E-06,0.93,2.4,0.105032728,1.5,2.92,0.073798876,-1.144840531,1.144840531,0.252275222
NR2E3,208388_at,1.57,0.75,0.124938737,0.195899652,-0.124938737,0.320838389,0,0.15,0.087,0.85,2.93,0.137104259,0.54,1.04,0.072612138,2.067984964,2.067984964,0.038641437
HDAC6,206846_s_at,1.98,0.71,0.148741651,0.29666519,-0.148741651,0.445406842,2,0.02,0.049,1.1,3.56,0.130116661,0.5,1,0.076793366,2.947997247,2.947997247,0.003198399
NR1H3,203920_at,0.5,0.62,0.207608311,-0.301029996,-0.207608311,-0.093421685,2,0.011,0.0076,0.29,0.86,0.120433789,0.44,0.89,0.078045237,-0.650973094,0.650973094,0.515063856
PGRMC2,213227_at,1.37,0.77,0.113509275,0.136720567,-0.113509275,0.250229842,0,0.29,0.18,0.76,2.46,0.130133039,0.52,1.13,0.085988546,1.604280127,1.604280127,0.10865232
TADA3,215273_s_at,1.8,0.7,0.15490196,0.255272505,-0.15490196,0.410174465,2,0.012,0.029,1.13,2.87,0.103266187,0.5,0.96,0.072270722,3.254229547,3.254229547,0.001137004
CARM1,212512_s_at,1.41,1.46,-0.164352856,0.149219113,0.164352856,-0.015133743,1,0.22,0.033,0.81,2.43,0.121714606,1.03,2.07,0.077329878,-0.10494787,0.10494787,0.916417174
DDX17,208718_at,0.55,0.47,0.327902142,-0.259637311,-0.327902142,0.068264832,2,0.036,8.90E-05,0.31,0.97,0.126380112,0.32,0.69,0.085127325,0.448001081,0.448001081,0.654152416
PTGES3,200627_at,1.46,1.95,-0.290034611,0.164352856,0.290034611,-0.125681756,1,0.13,0.00011,0.89,2.41,0.11036404,1.38,2.76,0.076793366,-0.934767804,0.934767804,0.349907975
CGA,204637_at,1.64,1.25,-0.096910013,0.214843848,0.096910013,0.117933835,1,0.037,0.18,1.03,2.61,0.103011041,0.9,1.74,0.073037433,0.933933737,0.933933737,0.350338075
CGB3,205387_s_at,1.36,1.32,-0.120573931,0.133538908,0.120573931,0.012964977,0,0.2,0.088,0.85,2.17,0.103836941,0.96,1.83,0.071474453,0.102849015,0.102849015,0.918082803
EGLN2,220956_s_at,2.15,0.66,0.180456064,0.33243846,-0.180456064,0.512894524,2,0.0018,0.013,1.31,3.51,0.109192811,0.48,0.92,0.072078212,3.920100989,3.920100989,8.85119E-05
PADI2,209791_at,0.64,1.66,-0.220108088,-0.193820026,0.220108088,-0.413928114,1,0.12,0.0021,0.36,1.13,0.126728557,1.2,2.29,0.071595468,-2.843806543,2.843806543,0.004457811
PARK7,200006_at,1.32,0.77,0.113509275,0.120573931,-0.113509275,0.234083206,0,0.24,0.14,0.83,2.11,0.10336846,0.54,1.09,0.077814474,1.809217719,1.809217719,0.070417186
PHB2,201600_at,1.97,0.65,0.187086643,0.294466226,-0.187086643,0.48155287,2,0.0036,0.013,1.24,3.14,0.102935705,0.46,0.91,0.075582541,3.770832441,3.770832441,0.000162704
CRH,205630_at,1.76,0.71,0.148741651,0.245512668,-0.148741651,0.394254319,1,0.017,0.062,1.1,2.81,0.103906539,0.5,1.02,0.078987288,3.020634967,3.020634967,0.002522453
CRHBP,205984_at,0.7,0.8,0.096910013,-0.15490196,-0.096910013,-0.057991947,0,0.17,0.19,0.42,1.17,0.113504227,0.58,1.12,0.07290562,-0.429883346,0.429883346,0.6672805
CRY1,209674_at,0.6,1.8,-0.255272505,-0.22184875,0.255272505,-0.477121255,2,0.031,0.0032,0.37,0.96,0.105629977,1.21,2.67,0.087685176,-3.475479791,3.475479791,0.00050994
CRY2,212695_at,1.49,0.7,0.15490196,0.173186268,-0.15490196,0.328088228,1,0.14,0.047,0.87,2.54,0.118702669,0.5,1,0.076793366,2.320656829,2.320656829,0.020305372
PARP1,208644_at,1.84,1.31,-0.117271296,0.264817823,0.117271296,0.147546527,1,0.017,0.1,1.11,3.07,0.112708009,0.95,1.82,0.072027496,1.103090161,1.103090161,0.269988013
CSNK2B,201390_s_at,3.65,1.39,-0.1430148,0.562292864,0.1430148,0.419278064,2,1.10E-04,0.046,1.81,7.35,0.155257338,1,1.93,0.072846252,2.444804657,2.444804657,0.014493062
DAB2,201278_at,0.51,0.72,0.142667504,-0.292429824,-0.142667504,-0.14976232,1,0.01,0.083,0.3,0.86,0.116677856,0.49,1.05,0.084437046,-1.039832173,1.039832173,0.298417879
DAXX,201763_s_at,0.43,0.75,0.124938737,-0.366531544,-0.124938737,-0.241592808,1,0.00029,0.11,0.27,0.69,0.103950338,0.53,1.07,0.07783365,-1.860402543,1.860402543,0.062828595
DEFA1,205033_s_at,1.82,1.2,-0.079181246,0.260071388,0.079181246,0.180890142,1,0.03,0.32,1.05,3.13,0.121008938,0.84,1.71,0.078754292,1.252880834,1.252880834,0.210249078
DEFA3,205033_s_at,1.82,1.2,-0.079181246,0.260071388,0.079181246,0.180890142,1,0.03,0.32,1.05,3.13,0.121008938,0.84,1.71,0.078754292,1.252880834,1.252880834,0.210249078
AGRP,207193_at,1.82,0.79,0.102372909,0.260071388,-0.102372909,0.362444297,1,0.011,0.18,1.14,2.92,0.104203571,0.56,1.12,0.076793366,2.800020482,2.800020482,0.005109936
NR0B1,206645_s_at,0.7,1.2,-0.079181246,-0.15490196,0.079181246,-0.234083206,0,0.13,0.28,0.44,1.12,0.103511568,0.86,1.69,0.074843942,-1.832567345,1.832567345,0.066866938
EP300,202221_s_at,0.79,1.17,-0.068185862,-0.102372909,0.068185862,-0.17055877,0,0.35,0.41,0.49,1.29,0.107243273,0.81,1.68,0.080822516,-1.270092245,1.270092245,0.204051774
ESR1,205225_at,1.33,0.63,0.200659451,0.123851641,-0.200659451,0.324511092,1,0.24,0.007,0.83,2.12,0.103892288,0.45,0.88,0.074303612,2.540626798,2.540626798,0.011065396
ESR2,211120_x_at,1.4,1.18,-0.071882007,0.146128036,0.071882007,0.074246028,0,0.22,0.32,0.81,2.42,0.121257742,0.85,1.63,0.072134867,0.526225197,0.526225197,0.598731749
ESRRA,203193_at,1.5,1.28,-0.10720997,0.176091259,0.10720997,0.068881289,0,0.091,0.13,0.93,2.41,0.105493391,0.93,1.77,0.07129855,0.540976539,0.540976539,0.588523753
ESRRG,207981_s_at,0.72,0.8,0.096910013,-0.142667504,-0.096910013,-0.045757491,0,0.17,0.2,0.45,1.15,0.103950338,0.58,1.12,0.07290562,-0.360385681,0.360385681,0.718558733
ACSL1,201963_at,0.57,1.81,-0.257678575,-0.244125144,0.257678575,-0.501803719,2,0.021,0.00033,0.35,0.92,0.107071373,1.3,2.51,0.0728904,-3.874119187,3.874119187,0.000107011
CNOT1,200861_at,2.99,1.78,-0.250420002,0.475671188,0.250420002,0.225251186,2,0.0012,0.0074,1.49,6.02,0.154696485,1.16,2.72,0.09441605,1.242881875,1.242881875,0.213911366
KDM4C,209984_at,2.28,0.66,0.180456064,0.357934847,-0.180456064,0.538390911,2,0.0029,0.014,1.3,3.98,0.123964214,0.47,0.92,0.074410706,3.723764388,3.723764388,0.000196274
SIRT1,218878_s_at,0.72,0.77,0.113509275,-0.142667504,-0.113509275,-0.029158229,0,0.18,0.13,0.45,1.16,0.10490956,0.56,1.08,0.072764216,-0.228380341,0.228380341,0.819350571
WBP2,209117_at,2.51,0.54,0.26760624,0.399673721,-0.26760624,0.667279962,2,0.00025,0.0055,1.51,4.18,0.112805953,0.34,0.84,0.100204176,4.422462378,4.422462378,9.75823E-06
FSHR,211201_at,1.91,0.85,0.070581074,0.281033367,-0.070581074,0.351614442,0,0.066,0.38,0.95,3.84,0.154746842,0.6,1.22,0.078624638,2.025715893,2.025715893,0.042793907
NR5A2,210174_at,0.69,0.78,0.107905397,-0.161150909,-0.107905397,-0.053245512,0,0.19,0.13,0.39,1.22,0.126350822,0.56,1.08,0.072764216,-0.365182487,0.365182487,0.714975191
NR5A1,210333_at,1.43,1.2,,0.155336037,0.079181246,0.076154791,0,0.2,0.33,0.83,2.47,0.120821138,0.83,1.72,0.080727131,0.524089704,0.524089704,0.600216149
KANK2,218418_s_at,2.27,0.51,0.292429824,0.356025857,-0.292429824,0.648455681,2,0.01,0.0013,1.19,4.31,0.142584262,0.33,0.77,0.093871629,3.798564197,3.798564197,0.000145537
APPL1,218158_s_at,0.74,0.77,0.113509275,-0.13076828,-0.113509275,-0.017259005,0,0.19,0.18,0.46,1.17,0.103425518,0.53,1.13,0.083878208,-0.12960809,0.12960809,0.896876502
GCGR,210565_at,0.63,1.5,-0.176091259,-0.200659451,0.176091259,-0.37675071,1,0.053,0.014,0.39,1.01,0.105422645,1.08,2.07,0.072078212,-2.950106641,2.950106641,0.003176643
GHR,205498_at,0.61,0.7,0.15490196,-0.214670165,-0.15490196,-0.059768205,1,0.04,0.05,0.37,0.98,0.107914375,0.48,1,0.081316011,-0.442329514,0.442329514,0.658250777
GHRHR,207825_s_at,1.46,0.87,0.060480747,0.164352856,-0.060480747,0.224833603,0,0.2,0.43,0.81,2.62,0.130055172,0.62,1.23,0.075896281,1.493108848,1.493108848,0.135408697
NR3C1,216321_s_at,0.57,0.65,0.187086643,-0.244125144,-0.187086643,-0.057038501,2,0.017,0.0082,0.36,0.91,0.102739513,0.47,0.9,0.071975676,-0.454697151,0.454697151,0.649327131
GTF2H1,202451_at,0.51,1.23,-0.089905111,-0.292429824,0.089905111,-0.382334935,1,0.039,0.21,0.27,0.98,0.142822018,0.89,1.72,0.0729945,-2.383719225,2.383719225,0.017138673
STRN3,204496_at,0.63,1.61,-0.206825876,-0.200659451,0.206825876,-0.407485327,1,0.052,0.0043,0.39,1.01,0.105422645,1.16,2.23,0.072409917,-3.186092801,3.186092801,0.001442083
HDAC1,201209_at,1.33,1.4,-0.146128036,0.123851641,0.146128036,-0.022276395,1,0.23,0.042,0.83,2.11,0.10336846,1.01,1.93,0.071743861,-0.177041057,0.177041057,0.85947614
FOXA1,204667_at,2.17,0.71,0.148741651,0.336459734,-0.148741651,0.485201385,1,0.00095,0.055,1.35,3.46,0.104271003,0.49,1.01,0.080134004,3.689568297,3.689568297,0.000224635
PRMT2,202098_s_at,1.48,1.15,-0.06069784,0.170261715,0.06069784,0.109563875,0,0.096,0.46,0.93,2.36,0.103170677,0.8,1.65,0.08020254,0.838428867,0.838428867,0.401789883
DNAJA1,200881_s_at,1.75,1.7,-0.230448921,0.243038049,0.230448921,0.012589127,2,0.018,0.0047,1.1,2.78,0.102717375,1.17,2.45,0.08188271,0.095836319,0.095836319,0.923650572
ISL1,206104_at,0.64,0.83,0.080921908,-0.193820026,-0.080921908,-0.112898118,0,0.13,0.28,0.36,1.14,0.127704681,0.58,1.17,0.077744354,-0.755130477,0.755130477,0.450170698
JAK2,205841_at,0.46,0.8,0.096910013,-0.337242168,-0.096910013,-0.240332155,1,0.0049,0.18,0.26,0.8,0.124519551,0.58,1.11,0.071911986,-1.671374877,1.671374877,0.094647655
RHOA,200059_s_at,0.72,0.83,0.080921908,-0.142667504,-0.080921908,-0.061745596,0,0.17,0.28,0.45,1.16,0.10490956,0.59,1.17,0.075850472,-0.476955566,0.476955566,0.633393763
LHB,214471_x_at,0.43,0.59,0.229147988,-0.366531544,-0.229147988,-0.137383556,2,0.012,0.0021,0.22,0.85,0.14974394,0.43,0.83,0.072859601,-0.824984836,0.824984836,0.4093802
LHCGR,207240_s_at,1.45,0.81,0.091514981,0.161368002,-0.091514981,0.252882983,0,0.12,0.2,0.91,2.32,0.103685355,0.58,1.12,0.07290562,1.995112163,1.995112163,0.046030648
BMAL1,209824_s_at,1.84,0.7,0.15490196,0.264817823,-0.15490196,0.419719783,2,0.014,0.047,1.12,3.03,0.110261379,0.49,1,0.079031612,3.093915378,3.093915378,0.001975338
SCGB2A1,205979_at,1.51,1.29,-0.11058971,0.178976947,0.11058971,0.068387237,0,0.082,0.12,0.95,2.4,0.102675417,0.93,1.79,0.072543388,0.543977288,0.543977288,0.586457102
SCGB2A2,206378_at,2.1,0.72,0.142667504,0.322219295,-0.142667504,0.464886798,1,0.0015,0.067,1.31,3.36,0.104354077,0.51,1.03,0.077874247,3.570334647,3.570334647,0.000356525
NR3C2,205259_at,0.67,0.75,0.124938737,-0.173925197,-0.124938737,-0.048986461,0,0.17,0.076,0.38,1.18,0.125535309,0.54,1.03,0.0715417,-0.339030366,0.339030366,0.734586855
ASIP,214498_at,0.65,0.69,0.161150909,-0.187086643,-0.161150909,-0.025935734,1,0.083,0.024,0.4,1.06,0.107970886,0.5,0.95,0.071110612,-0.200610075,0.200610075,0.841003479
NEDD4,213012_at,0.77,1.49,-0.173186268,-0.113509275,0.173186268,-0.286695543,1,0.27,0.031,0.48,1.23,0.104250988,1.03,2.13,0.080495505,-2.176701131,2.176701131,0.029502874
NKX3-1,209706_at,1.85,0.8,0.096910013,0.267171728,-0.096910013,0.364081741,1,0.0086,0.23,1.16,2.95,0.10340919,0.55,1.16,0.082677372,2.749921034,2.749921034,0.005960963
CNOT2,217798_at,1.58,0.68,0.167491087,0.198657087,-0.167491087,0.366148174,0,0.059,0.052,0.98,2.54,0.105512153,0.46,1.01,0.087133557,2.675747536,2.675747536,0.007456279
ADIPOR1,217748_at,2.48,1.44,-0.158362492,0.394451681,0.158362492,0.236089189,2,7.90E-05,0.031,1.55,3.95,0.103639132,1.03,2,0.073518564,1.857988269,1.857988269,0.06317068
UBR5,208882_s_at,0.8,0.67,0.173925197,-0.096910013,-0.173925197,0.077015184,0,0.34,0.054,0.5,1.27,0.103273907,0.44,1.01,0.092058341,0.556676247,0.556676247,0.577748648
RWDD1,219598_s_at,0.72,1.39,-0.1430148,-0.142667504,0.1430148,-0.285682304,1,0.18,0.045,0.44,1.16,0.107399314,1.01,1.92,0.07116833,-2.217355159,2.217355159,0.026598831
UFM1,218050_at,0.49,1.52,-0.181843588,-0.30980392,0.181843588,-0.491647508,2,0.0022,0.022,0.3,0.78,0.105860548,1.06,2.19,0.080392411,-3.698647976,3.698647976,0.000216751
PER1,202861_at,0.62,0.56,0.251811973,-0.207608311,-0.251811973,0.044203662,1,0.053,0.0027,0.37,1.01,0.111255013,0.39,0.82,0.082333991,0.319373919,0.319373919,0.749442986
PHB1,200659_s_at,0.76,0.7,0.15490196,-0.119186408,-0.15490196,0.035715552,1,0.26,0.038,0.46,1.23,0.108966143,0.5,0.98,0.07455512,0.270509603,0.270509603,0.78676823
POU4F2,207725_at,1.67,0.77,0.113509275,0.222716471,-0.113509275,0.336225746,0,0.077,0.18,0.94,3.03,0.129672136,0.52,1.13,0.085988546,2.16094394,2.16094394,0.03069967
PPARD,37152_at,1.38,1.65,-0.217483944,0.139879086,0.217483944,-0.077604858,1,0.22,0.015,0.83,2.29,0.11243811,1.1,2.47,0.089618436,-0.539732824,0.539732824,0.5893813
PPARG,208510_s_at,0.47,0.5,0.301029996,-0.327902142,-0.301029996,-0.026872146,2,0.0014,0.00033,0.29,0.76,0.106738672,0.34,0.73,0.084654067,-0.197251241,0.197251241,0.843630933
MED1,209580_s_at,0.71,1.8,-0.255272505,-0.148741651,0.255272505,-0.404014156,1,0.2,0.00071,0.42,1.2,0.116309172,1.27,2.54,0.076793366,-2.898782092,2.898782092,0.003746152
TRIM68,219405_at,0.59,0.68,0.167491087,-0.229147988,-0.167491087,-0.061656901,1,0.082,0.03,0.32,1.08,0.134763719,0.49,0.97,0.075657055,-0.398948466,0.398948466,0.689931177
