Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value,OR
SSSCA1,125,1091,59,705,0.056826118,1.36905964
STAG3,115,1101,107,657,0.002090732,0.641345591
SYCP1,64,1152,43,721,0.759681555,0.931524548
TARDBP,11,1205,9,755,0.645592031,0.765790687
TBRG4,162,1054,119,645,0.165283137,0.83308086
TGFA,37,1179,50,714,0.000284889,0.448142494
TGFB1,55,1161,52,712,0.031973452,0.648645067
TIMELESS,105,1111,35,729,0.000580132,1.96849685
TIPIN,51,1165,41,723,0.229647604,0.771966921
TOP3A,50,1166,35,729,0.649256301,0.89316344
TPD52L1,88,1128,90,674,0.000685308,0.584239559
TPX2,241,975,148,616,0.81652981,1.028801109
TRIAP1,71,1145,38,726,0.478768435,1.184693174
TTK,46,1170,55,709,0.001060834,0.506822067
TTN,32,1184,37,727,0.011428214,0.531044558
UBE2C,305,911,158,606,0.025366531,1.284094541
USH1C,126,1090,63,701,0.135384775,1.286238532
XRCC2,122,1094,117,647,0.000510954,0.616681511
ZW10,34,1182,24,740,0.682442133,0.886914834
ZWINT,50,1166,50,714,0.020015185,0.612349914
NR2E3,54,1162,55,709,0.011119695,0.59906118
HDAC6,84,1132,53,711,1,0.995466364
NR1H3,79,1137,49,715,1,1.01385673
PGRMC2,31,1185,23,741,0.571945287,0.842817832
TADA3,105,1111,64,700,0.869068873,1.03369712
CARM1,56,1160,63,701,0.001265787,0.537164751
DDX17,27,1189,50,714,2.09938E-06,0.324272498
PTGES3,106,1110,37,727,0.001253202,1.876357438
CGA,38,1178,45,719,0.003761694,0.515412186
EGLN2,65,1151,57,707,0.067755189,0.700458792
PADI2,16,1200,18,746,0.108438946,0.552592593
PARK7,19,1197,19,745,0.177669964,0.622389307
PHB2,102,1114,101,663,0.000778121,0.601045203
CRH,453,763,276,488,0.632335069,1.049746424
CRHBP,103,1113,39,725,0.005375877,1.720344645
CRY1,73,1143,41,723,0.620474093,1.126240317
CRY2,86,1130,52,712,0.856473762,1.042069435
PARP1,748,468,444,320,0.143748177,1.151921152
CSNK2B,72,1144,81,683,0.000189391,0.530691531
DAB2,200,1016,126,638,1,0.996750406
DAXX,74,1142,87,677,4.42688E-05,0.504237373
DEFA1,103,1113,69,695,0.682352346,0.932132766
DEFA3,103,1113,69,695,0.682352346,0.932132766
AGRP,28,1188,30,734,0.040411448,0.576655443
NR0B1,75,1141,40,724,0.430249055,1.189745837
EP300,27,1189,42,722,0.000208632,0.390364051
ESR1,115,1101,63,701,0.375637885,1.16221905
ESR2,62,1154,33,731,0.451638725,1.190116065
ESRRA,85,1131,45,719,0.352732467,1.20080558
ESRRG,787,429,461,303,0.050109065,1.205755199
ACSL1,36,1180,19,745,0.576595051,1.196253345
CNOT1,35,1181,29,735,0.296493865,0.751116821
KDM4C,69,1147,84,680,2.86217E-05,0.486984681
SIRT1,33,1183,34,730,0.041283352,0.598925961
WBP2,267,949,153,611,0.310172188,1.123556272
FSHR,42,1174,78,686,1.7474E-09,0.314637662
NR5A2,758,458,416,348,0.000599303,1.384489419
NR5A1,76,1140,41,723,0.435252951,1.175609756
KANK2,56,1160,62,702,0.001719656,0.546607341
APPL1,31,1185,8,756,0.019681098,2.472151898
GHR,189,1027,126,638,0.570780815,0.931840312
GHRHR,191,1025,140,624,0.137636761,0.830550523
NR3C1,135,1081,47,717,0.000165279,1.905150865
GTF2H1,92,1124,54,710,0.72423198,1.076182944
STRN3,104,1112,56,708,0.352257348,1.182425488
HDAC1,37,1179,37,727,0.050787025,0.616624258
FOXA1,119,1097,59,705,0.125527135,1.296216183
PRMT2,122,1094,111,653,0.003241715,0.656043612
DNAJA1,58,1158,58,706,0.010519101,0.609671848
ISL1,124,1092,58,706,0.055091577,1.382215486
JAK2,60,1156,74,690,6.74795E-05,0.48396147
RHOA,30,1186,12,752,0.201979084,1.585160202
LHB,72,1144,48,716,0.771921437,0.938811189
LHCGR,41,1175,80,684,2.89404E-10,0.298340426
SCGB2A1,91,1125,40,724,0.051476635,1.464088889
SCGB2A2,88,1128,40,724,0.09076354,1.412056738
NR3C2,44,1172,30,734,0.716870923,0.9185438
ASIP,235,981,128,636,0.152748583,1.190271407
NEDD4,45,1171,25,739,0.707955695,1.135952178
NKX3-1,84,1132,54,710,0.927827777,0.975657636
CNOT2,173,1043,70,694,0.000728092,1.644459663
ADIPOR1,784,432,433,331,0.000538259,1.387306475
UBR5,523,693,351,413,0.209529228,0.887996777
RWDD1,66,1150,78,686,8.58111E-05,0.504749164
UFM1,41,1175,41,723,0.036553231,0.615319149
PER1,19,1197,5,759,0.090869068,2.409523809
POU4F2,42,1174,34,730,0.28029184,0.768113037
PPARD,71,1145,86,678,2.43708E-05,0.488859551
PPARG,102,1114,52,712,0.227539049,1.253694241
MED1,230,986,164,600,0.183526846,0.853411171
TRIM68,80,1136,35,729,0.075280244,1.466800805
APPL2,77,1139,39,725,0.280345476,1.256725423
UFSP2,36,1180,21,743,0.890377584,1.079418886
PRCP,101,1115,62,702,0.933132728,1.025632866
ZDHHC7,33,1183,39,725,0.006582923,0.518564276
KDM3A,41,1175,54,710,0.000316455,0.458786446
VPS11,27,1189,19,745,0.759766112,0.890398831
PKN1,61,1155,70,694,0.000392291,0.523611626
