Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value
UBE2C,305,911,158,606,0.025366530560719313
USH1C,126,1090,63,701,0.13538477458326828
XRCC2,122,1094,117,647,0.0005109540924579692
ZW10,34,1182,24,740,0.6824421331175998
ZWINT,50,1166,50,714,0.02001518523573461
NR2E3,54,1162,55,709,0.011119695024946467
HDAC6,84,1132,53,711,1.0
NR1H3,79,1137,49,715,1.0
PGRMC2,31,1185,23,741,0.5719452874367907
TADA3,105,1111,64,700,0.8690688731678251
CARM1,56,1160,63,701,0.0012657871868980582
DDX17,27,1189,50,714,2.099379113526413e-06
PTGES3,106,1110,37,727,0.0012532018418095093
CGA,38,1178,45,719,0.003761693879311988
EGLN2,65,1151,57,707,0.06775518932345731
PADI2,16,1200,18,746,0.1084389461589616
PARK7,19,1197,19,745,0.17766996400783075
PHB2,102,1114,101,663,0.0007781214919093517
CRH,453,763,276,488,0.6323350693198385
CRHBP,103,1113,39,725,0.005375877329758286
CRY1,73,1143,41,723,0.6204740934367875
CRY2,86,1130,52,712,0.8564737618737717
PARP1,748,468,444,320,0.14374817668672854
CSNK2B,72,1144,81,683,0.00018939127904201038
DAB2,200,1016,126,638,1.0
DAXX,74,1142,87,677,4.426884333425167e-05
DEFA1,103,1113,69,695,0.6823523462798589
DEFA3,103,1113,69,695,0.6823523462798589
AGRP,28,1188,30,734,0.040411448116615456
NR0B1,75,1141,40,724,0.43024905516762874
EP300,27,1189,42,722,0.0002086316957759982
ESR1,115,1101,63,701,0.37563788493898315
ESR2,62,1154,33,731,0.45163872486949275
ESRRA,85,1131,45,719,0.35273246652614254
ESRRG,787,429,461,303,0.05010906525366805
ACSL1,36,1180,19,745,0.5765950514758178
CNOT1,35,1181,29,735,0.2964938648935764
KDM4C,69,1147,84,680,2.8621663352399783e-05
SIRT1,33,1183,34,730,0.0412833516930894
WBP2,267,949,153,611,0.31017218832957894
FSHR,42,1174,78,686,1.7473972040354607e-09
NR5A2,758,458,416,348,0.0005993033754599174
NR5A1,76,1140,41,723,0.4352529514663999
KANK2,56,1160,62,702,0.001719656302827896
APPL1,31,1185,8,756,0.019681098442486222
GHR,189,1027,126,638,0.570780815270675
GHRHR,191,1025,140,624,0.1376367613534039
NR3C1,135,1081,47,717,0.00016527910518742377
GTF2H1,92,1124,54,710,0.7242319800035442
STRN3,104,1112,56,708,0.3522573476536489
HDAC1,37,1179,37,727,0.05078702456715889
FOXA1,119,1097,59,705,0.12552713463646453
PRMT2,122,1094,111,653,0.0032417146495940935
DNAJA1,58,1158,58,706,0.010519101098860222
ISL1,124,1092,58,706,0.055091577021337754
JAK2,60,1156,74,690,6.747949027852203e-05
RHOA,30,1186,12,752,0.20197908441667195
LHB,72,1144,48,716,0.771921436923082
LHCGR,41,1175,80,684,2.8940379304713835e-10
SCGB2A1,91,1125,40,724,0.05147663513361349
SCGB2A2,88,1128,40,724,0.09076353958924721
NR3C2,44,1172,30,734,0.7168709233335393
ASIP,235,981,128,636,0.15274858265096963
NEDD4,45,1171,25,739,0.7079556954213265
NKX3-1,84,1132,54,710,0.9278277774966059
CNOT2,173,1043,70,694,0.0007280917077859617
ADIPOR1,784,432,433,331,0.0005382590373537916
